i,j,formula,eigvals,dopant_options
638,4,Cd140CrCsI275KOSSn2,"[0.00000000e+00+7.49945215e-06j 0.00000000e+00+5.37224558e-06j
 5.02104287e-06+0.00000000e+00j ... 2.03143370e-02+0.00000000e+00j
 2.58120940e-02+0.00000000e+00j 1.05645424e-01+0.00000000e+00j]","{'O', 'Sn', 'Na', 'S', 'K', 'Cs', 'Ge', 'Se', 'Cr'}"
638,5,Cd141CrI274KOS5Se3,"[0.        +0.00188965j 0.        +0.00091773j 0.        +0.00069374j ...
 0.03284705+0.j         0.04744903+0.j         0.05160953+0.j        ]","{'O', 'Sn', 'Na', 'S', 'K', 'Cs', 'Ge', 'Se', 'Cr'}"
638,6,Cd138CrCsI278OSn,"[0.        +3.84741736e-04j 0.        +7.75056644e-06j
 0.        +5.71853461e-06j ... 0.02997192+0.00000000e+00j
 0.05090594+0.00000000e+00j 0.05486347+0.00000000e+00j]","{'O', 'Sn', 'Na', 'S', 'K', 'Cs', 'Ge', 'Se', 'Cr'}"
643,0,Co72K216O144,"[0.        +0.00317619j 0.        +0.00317546j 0.        +0.00253454j ...
 0.06955328+0.j         0.06972074+0.j         0.06972191+0.j        ]","{'O', 'Ba', 'Sr', 'Ca', 'N', 'Cl', 'Br', 'F'}"
643,2,ClCo70K211NO140,"[0.00000000e+00+0.00234935j 0.00000000e+00+0.00192061j
 4.77559171e-06+0.j         ... 7.77941638e-02+0.j
 1.03254211e-01+0.j         1.28775070e-01+0.j        ]","{'O', 'Ba', 'Sr', 'Ca', 'N', 'Cl', 'Br', 'F'}"
644,0,C144B36Cu18N144,"[0.        +0.00396694j 0.        +0.00396651j 0.        +0.00352098j ...
 0.28124102+0.j         0.28124156+0.j         0.28140044+0.j        ]","{'O', 'H', 'Cu', 'N', 'S', 'C', 'Se', 'F'}"
644,1,C140HB36Cu18N144OSe,"[0.        +0.00199117j 0.        +0.00117069j 0.        +0.00065788j ...
 0.28417904+0.j         0.28767435+0.j         0.34866393+0.j        ]","{'O', 'H', 'Cu', 'N', 'S', 'C', 'Se', 'F'}"
644,2,C140B36Cu18N143OSe,"[0.        +4.74743386e-03j 0.        +9.93058874e-04j
 0.        +3.68815746e-05j ... 0.28415234+0.00000000e+00j
 0.28425821+0.00000000e+00j 0.28462516+0.00000000e+00j]","{'O', 'H', 'Cu', 'N', 'S', 'C', 'Se', 'F'}"
644,3,C141B35Cu18N142S2Se2,"[0.        +0.00421378j 0.        +0.00264951j 0.        +0.00223468j ...
 0.28369421+0.j         0.28429846+0.j         0.28660798+0.j        ]","{'O', 'H', 'Cu', 'N', 'S', 'C', 'Se', 'F'}"
645,0,Br250O125V125,"[0.        +0.04719255j 0.        +0.0471923j  0.        +0.04719225j ...
 0.06235836+0.j         0.06235843+0.j         0.06235854+0.j        ]","{'O', 'Nb', 'Mn', 'Cd', 'Rb', 'Cl', 'K', 'S', 'Mg', 'F'}"
645,1,Br245NbO124RbSV123,"[0.        +1.27013761e-03j 0.        +6.65032002e-04j
 0.        +1.90882803e-05j ... 0.12033878+0.00000000e+00j
 0.12259659+0.00000000e+00j 0.12286542+0.00000000e+00j]","{'O', 'Nb', 'Mn', 'Cd', 'Rb', 'Cl', 'K', 'S', 'Mg', 'F'}"
645,3,Br245Cl2FO120V123,"[0.00000000e+00+2.55462055e-05j 0.00000000e+00+7.54938036e-06j
 9.77315903e-06+0.00000000e+00j ... 1.23776174e-01+0.00000000e+00j
 1.24506188e-01+0.00000000e+00j 1.25795341e-01+0.00000000e+00j]","{'O', 'Nb', 'Mn', 'Cd', 'Rb', 'Cl', 'K', 'S', 'Mg', 'F'}"
648,0,Ge54K162Se162,"[0.00000000e+00+1.17857662e-05j 0.00000000e+00+1.09834510e-05j
 1.10918782e-05+0.00000000e+00j ... 2.67719603e-02+0.00000000e+00j
 2.68304180e-02+0.00000000e+00j 2.68304773e-02+0.00000000e+00j]","{'O', 'Nd', 'Ba', 'Sr', 'Ca', 'La', 'N', 'Cl', 'Br', 'F'}"
648,1,Ge53K156N2OSe156,"[6.72510505e-06+0.j 1.16248282e-05+0.j 1.36506363e-05+0.j ...
 6.73679956e-02+0.j 8.09925607e-02+0.j 9.87389324e-02+0.j]","{'O', 'Nd', 'Ba', 'Sr', 'Ca', 'La', 'N', 'Cl', 'Br', 'F'}"
648,2,Ge53K159NOSe154,"[0.00000000e+00+9.39541995e-06j 5.78722674e-06+0.00000000e+00j
 1.18267117e-05+0.00000000e+00j ... 2.85227598e-02+0.00000000e+00j
 7.87042195e-02+0.00000000e+00j 8.10675722e-02+0.00000000e+00j]","{'O', 'Nd', 'Ba', 'Sr', 'Ca', 'La', 'N', 'Cl', 'Br', 'F'}"
648,4,Ge54K162N2Se158,"[0.00000000e+00+1.17779947e-05j 0.00000000e+00+3.22298737e-06j
 1.11171438e-05+0.00000000e+00j ... 2.81565825e-02+0.00000000e+00j
 8.16787677e-02+0.00000000e+00j 8.22487397e-02+0.00000000e+00j]","{'O', 'Nd', 'Ba', 'Sr', 'Ca', 'La', 'N', 'Cl', 'Br', 'F'}"
648,5,Ge52K157NO2Se156,"[0.00000000e+00+1.32211671e-05j 9.26068512e-06+0.00000000e+00j
 1.09657577e-05+0.00000000e+00j ... 7.71784343e-02+0.00000000e+00j
 7.95435309e-02+0.00000000e+00j 1.00347771e-01+0.00000000e+00j]","{'O', 'Nd', 'Ba', 'Sr', 'Ca', 'La', 'N', 'Cl', 'Br', 'F'}"
648,6,Ge53K161N2Se159,"[0.00000000e+00+1.21158323e-05j 6.06597931e-06+0.00000000e+00j
 1.37612750e-05+0.00000000e+00j ... 5.67088891e-02+0.00000000e+00j
 6.08727896e-02+0.00000000e+00j 8.22238463e-02+0.00000000e+00j]","{'O', 'Nd', 'Ba', 'Sr', 'Ca', 'La', 'N', 'Cl', 'Br', 'F'}"
650,0,S250Zn250,"[0.00000000e+00+2.05374818e-05j 0.00000000e+00+7.60056906e-06j
 2.04476213e-05+0.00000000e+00j ... 3.86275867e-02+0.00000000e+00j
 3.86278710e-02+0.00000000e+00j 3.88858516e-02+0.00000000e+00j]","{'Mo', 'Si', 'Cu', 'N', 'Cl', 'W', 'K', 'Na', 'Li', 'Ge'}"
650,1,N3S241Zn243,"[0.00000000e+00+1.71010427e-03j 0.00000000e+00+1.39360013e-05j
 1.38499011e-05+0.00000000e+00j ... 6.98321746e-02+0.00000000e+00j
 7.05207775e-02+0.00000000e+00j 7.17922316e-02+0.00000000e+00j]","{'Mo', 'Si', 'Cu', 'N', 'Cl', 'W', 'K', 'Na', 'Li', 'Ge'}"
650,2,ClGeKMoNNaS238Zn242,"[0.        +6.63821393e-04j 0.        +7.92975299e-06j
 0.        +6.26226937e-06j ... 0.05060514+0.00000000e+00j
 0.07339201+0.00000000e+00j 0.07395166+0.00000000e+00j]","{'Mo', 'Si', 'Cu', 'N', 'Cl', 'W', 'K', 'Na', 'Li', 'Ge'}"
650,3,ClMo2S246Zn246,"[0.        +2.03195475e-03j 0.        +1.35773421e-05j
 0.        +4.08973327e-06j ... 0.04246679+0.00000000e+00j
 0.04426758+0.00000000e+00j 0.04491516+0.00000000e+00j]","{'Mo', 'Si', 'Cu', 'N', 'Cl', 'W', 'K', 'Na', 'Li', 'Ge'}"
650,4,Cl2GeN3Na2S237Zn242,"[0.        +4.77473690e-03j 0.        +1.45459225e-05j
 0.        +3.42569664e-06j ... 0.07022351+0.00000000e+00j
 0.07076859+0.00000000e+00j 0.07264381+0.00000000e+00j]","{'Mo', 'Si', 'Cu', 'N', 'Cl', 'W', 'K', 'Na', 'Li', 'Ge'}"
650,5,Cl2LiN3Na2S243SiZn245,"[0.00000000e+00+9.75543877e-06j 0.00000000e+00+6.05416732e-06j
 1.57956571e-05+0.00000000e+00j ... 7.08935253e-02+0.00000000e+00j
 7.18159475e-02+0.00000000e+00j 7.53697147e-02+0.00000000e+00j]","{'Mo', 'Si', 'Cu', 'N', 'Cl', 'W', 'K', 'Na', 'Li', 'Ge'}"
650,6,ClCuKNS242Zn240,"[0.        +4.38979892e-03j 0.        +1.48824402e-05j
 0.        +1.03535515e-05j ... 0.06814513+0.00000000e+00j
 0.06853235+0.00000000e+00j 0.07342598+0.00000000e+00j]","{'Mo', 'Si', 'Cu', 'N', 'Cl', 'W', 'K', 'Na', 'Li', 'Ge'}"
651,0,Cl216K216,"[0.00000000e+00+1.93653829e-05j 0.00000000e+00+1.36395330e-05j
 2.82045010e-05+0.00000000e+00j ... 2.10788546e-02+0.00000000e+00j
 2.10789369e-02+0.00000000e+00j 2.10789433e-02+0.00000000e+00j]","{'O', 'Ba', 'Sr', 'La', 'Cl', 'K', 'S', 'Se', 'Ca'}"
651,1,BaCl207K212O2SSe2,"[0.00000000e+00+8.00344281e-06j 9.15159176e-06+0.00000000e+00j
 1.50153129e-05+0.00000000e+00j ... 2.62837763e-02+0.00000000e+00j
 2.64383385e-02+0.00000000e+00j 2.78243728e-02+0.00000000e+00j]","{'O', 'Ba', 'Sr', 'La', 'Cl', 'K', 'S', 'Se', 'Ca'}"
651,2,BaCl208K208O2SeSr,"[0.        +4.28122904e-03j 0.        +1.39004648e-05j
 0.        +8.27853345e-06j ... 0.02532672+0.00000000e+00j
 0.02909722+0.00000000e+00j 0.04458812+0.00000000e+00j]","{'O', 'Ba', 'Sr', 'La', 'Cl', 'K', 'S', 'Se', 'Ca'}"
651,3,Cl216K201SSr3,"[0.00000000e+00+1.49933272e-05j 9.01392227e-06+0.00000000e+00j
 1.28456155e-05+0.00000000e+00j ... 2.26779654e-02+0.00000000e+00j
 2.29767063e-02+0.00000000e+00j 2.30482370e-02+0.00000000e+00j]","{'O', 'Ba', 'Sr', 'La', 'Cl', 'K', 'S', 'Se', 'Ca'}"
652,0,Fe72Nb72O288,"[0.        +7.02414671e-05j 0.        +4.98119878e-05j
 0.        +1.42221923e-05j ... 0.11123367+0.00000000e+00j
 0.11163023+0.00000000e+00j 0.1116304 +0.00000000e+00j]","{'Ti', 'Cl', 'Sb', 'W', 'K', 'Na', 'Rb', 'F'}"
652,1,FFe70KNb72O280,"[0.00000000e+00+4.35977707e-05j 0.00000000e+00+2.98597167e-05j
 4.86700234e-05+0.00000000e+00j ... 1.13100107e-01+0.00000000e+00j
 1.15609702e-01+0.00000000e+00j 1.18706522e-01+0.00000000e+00j]","{'Ti', 'Cl', 'Sb', 'W', 'K', 'Na', 'Rb', 'F'}"
652,2,Cl7FFe70NaNb72O270Sb,"[0.00000000e+00+3.19711676e-05j 0.00000000e+00+1.02373085e-05j
 2.82235608e-05+0.00000000e+00j ... 1.11456886e-01+0.00000000e+00j
 1.12113472e-01+0.00000000e+00j 1.25704779e-01+0.00000000e+00j]","{'Ti', 'Cl', 'Sb', 'W', 'K', 'Na', 'Rb', 'F'}"
652,3,Cl5F2Fe69KNb70O276,"[0.00000000e+00+7.56073655e-03j 0.00000000e+00+4.81772423e-05j
 2.19174379e-05+0.00000000e+00j ... 1.15952982e-01+0.00000000e+00j
 1.16531480e-01+0.00000000e+00j 1.22259468e-01+0.00000000e+00j]","{'Ti', 'Cl', 'Sb', 'W', 'K', 'Na', 'Rb', 'F'}"
652,4,Cl3F3Fe68KNaNb69O277Sb,"[0.        +2.23168524e-03j 0.        +5.14658956e-05j
 0.        +2.00161576e-05j ... 0.11520872+0.00000000e+00j
 0.11956998+0.00000000e+00j 0.12533653+0.00000000e+00j]","{'Ti', 'Cl', 'Sb', 'W', 'K', 'Na', 'Rb', 'F'}"
652,5,ClFFe70Nb71O282Sb,"[0.00000000e+00+3.22428600e-03j 0.00000000e+00+1.03098642e-05j
 1.09824337e-05+0.00000000e+00j ... 1.11634942e-01+0.00000000e+00j
 1.12157116e-01+0.00000000e+00j 1.13100934e-01+0.00000000e+00j]","{'Ti', 'Cl', 'Sb', 'W', 'K', 'Na', 'Rb', 'F'}"
652,6,Cl4F2Fe70K2Nb68O280RbTi,"[7.83542638e-06+0.j 3.86170822e-05+0.j 6.32073465e-05+0.j ...
 1.12322733e-01+0.j 1.12660964e-01+0.j 1.14588281e-01+0.j]","{'Ti', 'Cl', 'Sb', 'W', 'K', 'Na', 'Rb', 'F'}"
655,0,Ca72Co36O252Si72,"[0.        +0.0033397j  0.        +0.00333944j 0.        +0.00333854j ...
 0.12494018+0.j         0.12494021+0.j         0.12608822+0.j        ]","{'La', 'Cl', 'P', 'K', 'Na', 'Li', 'V', 'Cs', 'F'}"
655,1,Ca68ClCo36CsF2O243Si69V,"[0.00000000e+00+2.86442951e-03j 0.00000000e+00+3.94048218e-05j
 1.45575413e-05+0.00000000e+00j ... 1.25835168e-01+0.00000000e+00j
 1.27430546e-01+0.00000000e+00j 1.29658067e-01+0.00000000e+00j]","{'La', 'Cl', 'P', 'K', 'Na', 'Li', 'V', 'Cs', 'F'}"
655,2,Ca70Cl2Co34F6Na4O243Si72,"[0.00000000e+00+5.96703551e-04j 0.00000000e+00+3.58212014e-05j
 1.26717027e-05+0.00000000e+00j ... 1.30287254e-01+0.00000000e+00j
 1.31067685e-01+0.00000000e+00j 1.31511590e-01+0.00000000e+00j]","{'La', 'Cl', 'P', 'K', 'Na', 'Li', 'V', 'Cs', 'F'}"
655,3,Ca71Cl3Co34FO240Si69V2,"[0.        +7.54875462e-03j 0.        +1.59738415e-03j
 0.        +3.89226765e-05j ... 0.12543929+0.00000000e+00j
 0.12629564+0.00000000e+00j 0.1328208 +0.00000000e+00j]","{'La', 'Cl', 'P', 'K', 'Na', 'Li', 'V', 'Cs', 'F'}"
656,0,As36Cu144K36S144,"[0.00000000e+00+1.23744572e-05j 1.00272995e-05+0.00000000e+00j
 1.58480117e-05+0.00000000e+00j ... 4.16111507e-02+0.00000000e+00j
 4.16112746e-02+0.00000000e+00j 4.16128431e-02+0.00000000e+00j]","{'Zr', 'In', 'D', 'U', 'Na', 'Co', 'Ag', 'Li', 'Zn'}"
656,1,As34Cu143K34S142,"[0.        +2.34287603e-03j 0.        +3.00200837e-04j
 0.        +1.44983651e-05j ... 0.04482559+0.00000000e+00j
 0.04673903+0.00000000e+00j 0.0481055 +0.00000000e+00j]","{'Zr', 'In', 'D', 'U', 'Na', 'Co', 'Ag', 'Li', 'Zn'}"
656,2,Ag2As36Cu143K35S141Zn,"[0.00000000e+00+1.32172561e-05j 7.28174891e-06+0.00000000e+00j
 1.26253443e-05+0.00000000e+00j ... 4.25367633e-02+0.00000000e+00j
 4.27726657e-02+0.00000000e+00j 4.32760712e-02+0.00000000e+00j]","{'Zr', 'In', 'D', 'U', 'Na', 'Co', 'Ag', 'Li', 'Zn'}"
656,3,As35Cu142K34S141,"[0.        +6.21446904e-04j 0.        +1.87728091e-05j
 0.        +1.26200712e-05j ... 0.04568743+0.00000000e+00j
 0.04675542+0.00000000e+00j 0.04691168+0.00000000e+00j]","{'Zr', 'In', 'D', 'U', 'Na', 'Co', 'Ag', 'Li', 'Zn'}"
658,0,Ba96O288Te48Zn48,"[4.34930327e-05+0.j 5.81504532e-05+0.j 6.65117139e-05+0.j ...
 8.48354012e-02+0.j 8.48354576e-02+0.j 8.50177925e-02+0.j]","{'Si', 'Re', 'Cl', 'Ir', 'W', 'K', 'Ge', 'Cs', 'Rb', 'F'}"
658,1,Ba90Cl5Cs3FGeK2O271Te47Zn46,"[0.00000000e+00+2.53159008e-05j 0.00000000e+00+1.74857830e-05j
 1.35493838e-05+0.00000000e+00j ... 9.90426760e-02+0.00000000e+00j
 9.93064887e-02+0.00000000e+00j 1.01185746e-01+0.00000000e+00j]","{'Si', 'Re', 'Cl', 'Ir', 'W', 'K', 'Ge', 'Cs', 'Rb', 'F'}"
658,2,Ba94Cl3F3O279RbTe48Zn47,"[0.00000000e+00+3.22802264e-05j 0.00000000e+00+1.41969675e-05j
 1.70506448e-05+0.00000000e+00j ... 9.66102129e-02+0.00000000e+00j
 9.73771443e-02+0.00000000e+00j 9.90687703e-02+0.00000000e+00j]","{'Si', 'Re', 'Cl', 'Ir', 'W', 'K', 'Ge', 'Cs', 'Rb', 'F'}"
658,3,Ba92ClCsF2KO283RbSiTe48Zn47,"[0.00000000e+00+3.07234468e-05j 1.37930037e-05+0.00000000e+00j
 3.63211916e-05+0.00000000e+00j ... 9.76664296e-02+0.00000000e+00j
 1.04211421e-01+0.00000000e+00j 1.08318132e-01+0.00000000e+00j]","{'Si', 'Re', 'Cl', 'Ir', 'W', 'K', 'Ge', 'Cs', 'Rb', 'F'}"
661,0,B192N192,"[0.00000000e+00+8.52110928e-05j 4.37281100e-05+0.00000000e+00j
 1.40882150e-04+0.00000000e+00j ... 1.79278914e-01+0.00000000e+00j
 1.79279208e-01+0.00000000e+00j 1.79279382e-01+0.00000000e+00j]","{'O', 'Ni', 'Ba', 'Cu', 'S', 'Ag', 'C', 'Se', 'Zn', 'F'}"
661,1,B191N187S2Se,"[0.00000000e+00+7.63592723e-05j 0.00000000e+00+5.07491124e-05j
 6.51926736e-05+0.00000000e+00j ... 1.80750524e-01+0.00000000e+00j
 2.01327582e-01+0.00000000e+00j 2.06405768e-01+0.00000000e+00j]","{'O', 'Ni', 'Ba', 'Cu', 'S', 'Ag', 'C', 'Se', 'Zn', 'F'}"
661,2,C2Ag2B186FN184NiO2SSeZn,"[0.00000000e+00+5.24934318e-03j 0.00000000e+00+5.04722812e-05j
 2.44347431e-05+0.00000000e+00j ... 1.86229176e-01+0.00000000e+00j
 1.91846847e-01+0.00000000e+00j 1.93061269e-01+0.00000000e+00j]","{'O', 'Ni', 'Ba', 'Cu', 'S', 'Ag', 'C', 'Se', 'Zn', 'F'}"
661,3,C2Ag2B180Ba3FN188NiSe,"[0.00000000e+00+5.19879163e-05j 1.92460129e-05+0.00000000e+00j
 7.31346263e-05+0.00000000e+00j ... 1.87829914e-01+0.00000000e+00j
 1.89581889e-01+0.00000000e+00j 2.06675366e-01+0.00000000e+00j]","{'O', 'Ni', 'Ba', 'Cu', 'S', 'Ag', 'C', 'Se', 'Zn', 'F'}"
661,4,Ag2B181BaN188SeZn,"[0.00000000e+00+6.58786350e-05j 0.00000000e+00+3.39988278e-05j
 9.34413322e-05+0.00000000e+00j ... 1.95610893e-01+0.00000000e+00j
 1.96193279e-01+0.00000000e+00j 1.97255804e-01+0.00000000e+00j]","{'O', 'Ni', 'Ba', 'Cu', 'S', 'Ag', 'C', 'Se', 'Zn', 'F'}"
661,5,AgB186CuN188,"[0.00000000e+00+8.25489152e-05j 0.00000000e+00+5.49699961e-05j
 5.43139869e-05+0.00000000e+00j ... 1.99869205e-01+0.00000000e+00j
 2.00945769e-01+0.00000000e+00j 2.03034257e-01+0.00000000e+00j]","{'O', 'Ni', 'Ba', 'Cu', 'S', 'Ag', 'C', 'Se', 'Zn', 'F'}"
661,6,B187BaCu2F2N186OSSe,"[0.        +1.78051957e-02j 0.        +8.42275857e-05j
 0.        +3.29937921e-05j ... 0.20079546+0.00000000e+00j
 0.20230047+0.00000000e+00j 0.21917484+0.00000000e+00j]","{'O', 'Ni', 'Ba', 'Cu', 'S', 'Ag', 'C', 'Se', 'Zn', 'F'}"
663,0,Ba72Li18O216Sb54,"[0.        +4.97955216e-05j 0.        +3.21473534e-05j
 0.        +2.38672353e-05j ... 0.08741357+0.00000000e+00j
 0.08765188+0.00000000e+00j 0.08765204+0.00000000e+00j]","{'Mo', 'Er', 'Si', 'Cl', 'Na', 'K', 'Cs', 'Rb', 'F'}"
663,1,Ba68Cl2CsF4K2Li18O206RbSb52,"[0.00000000e+00+2.84423814e-05j 0.00000000e+00+1.26388268e-05j
 3.81971337e-05+0.00000000e+00j ... 9.41873054e-02+0.00000000e+00j
 9.52030156e-02+0.00000000e+00j 9.82496488e-02+0.00000000e+00j]","{'Mo', 'Er', 'Si', 'Cl', 'Na', 'K', 'Cs', 'Rb', 'F'}"
663,2,Ba68ClCsF3KLi17NaO206RbSb53,"[0.00000000e+00+1.73283273e-05j 1.25618083e-05+0.00000000e+00j
 2.47804121e-05+0.00000000e+00j ... 9.40296736e-02+0.00000000e+00j
 9.48040286e-02+0.00000000e+00j 9.51344495e-02+0.00000000e+00j]","{'Mo', 'Er', 'Si', 'Cl', 'Na', 'K', 'Cs', 'Rb', 'F'}"
663,3,Ba67Cl2CsF3KLi17O204RbSb54,"[1.68890841e-05+0.j 2.57724006e-05+0.j 2.91175557e-05+0.j ...
 9.19717871e-02+0.j 9.39226778e-02+0.j 9.62026606e-02+0.j]","{'Mo', 'Er', 'Si', 'Cl', 'Na', 'K', 'Cs', 'Rb', 'F'}"
663,4,Ba72ClFLi18NaO212Sb52,"[0.00000000e+00+2.61127822e-05j 1.18491569e-05+0.00000000e+00j
 3.05137227e-05+0.00000000e+00j ... 9.36210676e-02+0.00000000e+00j
 9.49904778e-02+0.00000000e+00j 9.62080801e-02+0.00000000e+00j]","{'Mo', 'Er', 'Si', 'Cl', 'Na', 'K', 'Cs', 'Rb', 'F'}"
663,5,Ba70FKLi17O215RbSb51,"[0.00000000e+00+3.40821003e-05j 2.53889447e-05+0.00000000e+00j
 3.28074568e-05+0.00000000e+00j ... 8.81813627e-02+0.00000000e+00j
 8.86608768e-02+0.00000000e+00j 8.93136147e-02+0.00000000e+00j]","{'Mo', 'Er', 'Si', 'Cl', 'Na', 'K', 'Cs', 'Rb', 'F'}"
663,6,Ba70Cl2F4KLi18MoO209RbSb53,"[0.00000000e+00+2.25813945e-05j 2.10553623e-05+0.00000000e+00j
 2.56241186e-05+0.00000000e+00j ... 9.08521460e-02+0.00000000e+00j
 9.11901865e-02+0.00000000e+00j 9.19197528e-02+0.00000000e+00j]","{'Mo', 'Er', 'Si', 'Cl', 'Na', 'K', 'Cs', 'Rb', 'F'}"
665,0,Ag96In96S192,"[0.00000000e+00+1.19517859e-05j 0.00000000e+00+5.62550367e-06j
 6.74940845e-06+0.00000000e+00j ... 3.45682096e-02+0.00000000e+00j
 3.45682237e-02+0.00000000e+00j 3.47628586e-02+0.00000000e+00j]","{'O', 'In', 'Cl', 'Sb', 'W', 'Ga', 'K', 'Na', 'Cs', 'Mg'}"
665,2,Ag94Cl3GaIn91KMg2S188Sb,"[0.        +1.10479913e-03j 0.        +1.17553629e-05j
 0.        +9.47926435e-06j ... 0.0391074 +0.00000000e+00j
 0.03933854+0.00000000e+00j 0.0408257 +0.00000000e+00j]","{'O', 'In', 'Cl', 'Sb', 'W', 'Ga', 'K', 'Na', 'Cs', 'Mg'}"
665,3,Ag92Cl10In95OS182,"[0.00000000e+00+1.31368241e-05j 0.00000000e+00+6.34500767e-06j
 1.40867899e-05+0.00000000e+00j ... 3.97441441e-02+0.00000000e+00j
 5.04993503e-02+0.00000000e+00j 1.01925831e-01+0.00000000e+00j]","{'O', 'In', 'Cl', 'Sb', 'W', 'Ga', 'K', 'Na', 'Cs', 'Mg'}"
665,4,Ag92Cl6GaIn94MgOS181,"[0.        +2.28256664e-03j 0.        +1.16847792e-05j
 0.        +7.05878898e-06j ... 0.0393027 +0.00000000e+00j
 0.04961617+0.00000000e+00j 0.09496069+0.00000000e+00j]","{'O', 'In', 'Cl', 'Sb', 'W', 'Ga', 'K', 'Na', 'Cs', 'Mg'}"
665,5,Ag94Cl6Cs2In91NaS180,"[0.00000000e+00+1.07719797e-03j 0.00000000e+00+1.12916091e-05j
 5.38536488e-06+0.00000000e+00j ... 3.97496237e-02+0.00000000e+00j
 3.98473243e-02+0.00000000e+00j 4.04404557e-02+0.00000000e+00j]","{'O', 'In', 'Cl', 'Sb', 'W', 'Ga', 'K', 'Na', 'Cs', 'Mg'}"
665,6,Ag95ClIn93OS190,"[0.00000000e+00+2.70581523e-03j 0.00000000e+00+9.90281260e-06j
 6.41074640e-06+0.00000000e+00j ... 3.94699785e-02+0.00000000e+00j
 5.32524400e-02+0.00000000e+00j 9.44722595e-02+0.00000000e+00j]","{'O', 'In', 'Cl', 'Sb', 'W', 'Ga', 'K', 'Na', 'Cs', 'Mg'}"
666,0,Cs64Cu192S128,"[0.00000000e+00+8.84508468e-06j 3.11017592e-06+0.00000000e+00j
 1.62299848e-05+0.00000000e+00j ... 5.50118675e-02+0.00000000e+00j
 5.50121608e-02+0.00000000e+00j 5.53430992e-02+0.00000000e+00j]","{'O', 'Ba', 'Sr', 'N', 'Cl', 'Br', 'Hg', 'Zn', 'F'}"
666,1,BaCs62Cu187NOS127Zn2,"[0.00000000e+00+1.31327662e-05j 0.00000000e+00+2.27232534e-06j
 7.98743418e-06+0.00000000e+00j ... 7.50549891e-02+0.00000000e+00j
 7.55840944e-02+0.00000000e+00j 1.08057888e-01+0.00000000e+00j]","{'O', 'Ba', 'Sr', 'N', 'Cl', 'Br', 'Hg', 'Zn', 'F'}"
666,2,Cs64Cu190NOS125,"[0.00000000e+00+1.05307980e-05j 0.00000000e+00+7.28512554e-06j
 6.33623635e-06+0.00000000e+00j ... 7.52997458e-02+0.00000000e+00j
 7.53956095e-02+0.00000000e+00j 1.07936124e-01+0.00000000e+00j]","{'O', 'Ba', 'Sr', 'N', 'Cl', 'Br', 'Hg', 'Zn', 'F'}"
666,3,ClCs64Cu190O2S124,"[0.00000000e+00+1.00895218e-05j 0.00000000e+00+2.97177390e-06j
 1.24275838e-05+0.00000000e+00j ... 5.91001657e-02+0.00000000e+00j
 6.88400842e-02+0.00000000e+00j 1.08129225e-01+0.00000000e+00j]","{'O', 'Ba', 'Sr', 'N', 'Cl', 'Br', 'Hg', 'Zn', 'F'}"
669,0,B108Co108O270,"[0.00000000e+00+5.32664205e-05j 0.00000000e+00+4.14470665e-05j
 3.09253441e-05+0.00000000e+00j ... 1.48830431e-01+0.00000000e+00j
 1.48902906e-01+0.00000000e+00j 1.48902991e-01+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
669,1,CAgB105ClCo105FO264,"[0.00000000e+00+3.72395768e-05j 0.00000000e+00+1.20949579e-05j
 4.69340718e-05+0.00000000e+00j ... 1.77984484e-01+0.00000000e+00j
 1.81727161e-01+0.00000000e+00j 1.94074069e-01+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
669,2,B108ClCo106F2O258,"[0.        +5.94153966e-03j 0.        +2.38844717e-03j
 0.        +5.35670367e-05j ... 0.23372521+0.00000000e+00j
 0.24582264+0.00000000e+00j 0.24688338+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
669,3,CB104Cl5Co106F2KO253,"[0.00000000e+00+5.89186189e-05j 0.00000000e+00+3.45553803e-05j
 2.42908591e-05+0.00000000e+00j ... 2.33699639e-01+0.00000000e+00j
 2.34137354e-01+0.00000000e+00j 2.34363090e-01+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
669,4,CAgB104Cl3Co102F3K2LiNaO263Sn,"[0.        +1.04277397e-02j 0.        +1.09505071e-03j
 0.        +3.52434984e-05j ... 0.18353446+0.00000000e+00j
 0.19027923+0.00000000e+00j 0.22157454+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
669,5,C2AgB104Co106F4KO266,"[0.        +1.22302383e-03j 0.        +3.50537620e-05j
 0.        +3.27029959e-05j ... 0.17420859+0.00000000e+00j
 0.18114945+0.00000000e+00j 0.18577908+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
